Date;Open;High;Low;Close;Adj Close;Open;High;Low;Close;Adj Close;Volume;;Retorno de i;
25/04/2014;464,48999;468,679993;448,570007;457,869995;457,869995;464.489.990;468.679.993;448.570.007;457.869.995;457.869.995;3157540;;-0,032609;
26/04/2014;457,869995;461,399994;437,390015;443,179993;443,179993;457.869.995;461.399.994;437.390.015;443.179.993;443.179.993;3154922;;-0,002847;
27/04/2014;443,179993;451,119995;420,779999;441,920013;441,920013;443.179.993;451.119.995;420.779.999;441.920.013;441.920.013;2004954;;0,009459;
28/04/2014;441,920013;453,779999;430,709991;446,119995;446,119995;441.920.013;453.779.999;430.709.991;446.119.995;446.119.995;1670352;;-0,001099;
29/04/2014;446,119995;452,640015;430,890015;445,630005;445,630005;446.119.995;452.640.015;430.890.015;445.630.005;445.630.005;1831533;;0,03202;
30/04/2014;445,630005;464,48999;444,51001;460,130005;460,130005;445.630.005;464.489.990;444.510.010;460.130.005;460.130.005;1915772;;-0,014139;
01/05/2014;460,130005;463,380005;442;453,670013;453,670013;460.130.005;463.380.005;442.000.000;453.670.013;453.670.013;1532239;;-0,033668;
02/05/2014;453,670013;454,200012;429,089996;438,649994;438,649994;453.670.013;454.200.012;429.089.996;438.649.994;438.649.994;1143291;;-0,005945;
03/05/2014;438,649994;446,609985;428,790009;436,049988;436,049988;438.649.994;446.609.985;428.790.009;436.049.988;436.049.988;1470650;;-0,01195;
04/05/2014;436,049988;443,859985;426,369995;430,869995;430,869995;436.049.988;443.859.985;426.369.995;430.869.995;430.869.995;1328247;;0,003059;
05/05/2014;430,869995;434,950012;420,230011;432,190002;432,190002;430.869.995;434.950.012;420.230.011;432.190.002;432.190.002;1809731;;0,032686;
06/05/2014;432,190002;458,779999;423,549988;446,549988;446,549988;432.190.002;458.779.999;423.549.988;446.549.988;446.549.988;2209759;;-0,012257;
07/05/2014;446,549988;455,5;439,5;441,109985;441,109985;446.549.988;455.500.000;439.500.000;441.109.985;441.109.985;1134338;;0,009791;
08/05/2014;441,109985;455,779999;438,5;445,450012;445,450012;441.109.985;455.779.999;438.500.000;445.450.012;445.450.012;1013830;;0,014376;
