Data;Retornos
25/04/2014;-0,032609
26/04/2014;-0,002847
27/04/2014;0,009459
28/04/2014;-0,001099
29/04/2014;0,03202
30/04/2014;-0,014139
01/05/2014;-0,033668
02/05/2014;-0,005945
03/05/2014;-0,01195
04/05/2014;0,003059
05/05/2014;0,032686
06/05/2014;-0,012257
07/05/2014;0,009791
08/05/2014;0,014376
09/05/2014;-0,042192
10/05/2014;0,011429
11/05/2014;-0,009838
12/05/2014;0,019874
13/05/2014;0,012282
14/05/2014;0,012265
15/05/2014;-0,001853
16/05/2014;-0,00587
17/05/2014;-0,013959
18/05/2014;0,087663
19/05/2014;0,008773
20/05/2014;0,05283
21/05/2014;0,005283
22/05/2014;0,004564
23/05/2014;0,091695
24/05/2014;0,02008
25/05/2014;-0,020676
26/05/2014;0,001297
27/05/2014;-0,01131
28/05/2014;0,081505
29/05/2014;0,025093
30/05/2014;0,034252
31/05/2014;0,008734
01/06/2014;0,021044
02/06/2014;-0,046632
03/06/2014;0,032718
04/06/2014;-0,01491
05/06/2014;0,001935
06/06/2014;-0,000952
07/06/2014;-0,010344
08/06/2014;0,017339
09/06/2014;-0,019514
10/06/2014;-0,073932
11/06/2014;0,021898
12/06/2014;-0,045125
13/06/2014;-0,001939
14/06/2014;0,028427
15/06/2014;0,009982
16/06/2014;0,001849
17/06/2014;-0,010014
18/06/2014;-0,01582
19/06/2014;0,010591
20/06/2014;0,010961
21/06/2014;-0,020841
22/06/2014;-0,004068
23/06/2014;-0,035122
24/06/2014;0,024759
25/06/2014;0,032967
26/06/2014;-0,007785
27/06/2014;0,00584
28/06/2014;0,055151
29/06/2014;0,012595
30/06/2014;0,003926
01/07/2014;-0,011981
02/07/2014;-0,022299
03/07/2014;-0,001604
04/07/2014;0,005906
05/07/2014;-0,021045
06/07/2014;0,002799
07/07/2014;0,012404
08/07/2014;-0,007427
09/07/2014;0,023193
10/07/2014;0,004729
11/07/2014;-0,012453
12/07/2014;-0,015582
13/07/2014;0,002068
14/07/2014;-0,007777
15/07/2014;0,018979
16/07/2014;0,001419
17/07/2014;-0,000686
18/07/2014;-0,009711
19/07/2014;0,006661
20/07/2014;-0,004168
21/07/2014;-0,00135
22/07/2014;-0,0324
23/07/2014;-0,002279
24/07/2014;-0,007522
25/07/2014;-0,001629
26/07/2014;-0,012004
27/07/2014;-0,003681
28/07/2014;-0,036739
29/07/2014;0,04312
30/07/2014;0,015586
31/07/2014;-0,011861
01/08/2014;-0,004709
02/08/2014;0,006482
03/08/2014;-0,006788
04/08/2014;0,001714
05/08/2014;0,005124
06/08/2014;0,005132
07/08/2014;-0,01068
08/08/2014;0,004299
09/08/2014;-0,027691
10/08/2014;-0,014394
11/08/2014;-0,046072
12/08/2014;-0,071288
13/08/2014;-0,016679
14/08/2014;0,050204
15/08/2014;-0,072507
16/08/2014;-0,049225
17/08/2014;0,048442
18/08/2014;0,063221
19/08/2014;0,002242
20/08/2014;-0,003559
21/08/2014;-0,036343
22/08/2014;0,023885
23/08/2014;-0,013391
24/08/2014;0,018967
25/08/2014;0,005196
26/08/2014;-0,008733
27/08/2014;0,003538
28/08/2014;-0,01296
29/08/2014;-0,04897
30/08/2014;-0,009573
31/08/2014;0,003661
01/09/2014;0,002294
02/09/2014;0,022554
03/09/2014;-0,015062
04/09/2014;0,001694
05/09/2014;0,002639
06/09/2014;-0,020928
07/09/2014;-0,001662
08/09/2014;0,010057
09/09/2014;-0,002526
10/09/2014;-0,00159
11/09/2014;0,000921
12/09/2014;-0,0009
13/09/2014;-0,000063
14/09/2014;-0,02321
15/09/2014;-0,012201
16/09/2014;-0,083247
17/09/2014;-0,064724
18/09/2014;0,034259
19/09/2014;-0,024376
20/09/2014;0,006131
21/09/2014;0,077975
22/09/2014;-0,030422
23/09/2014;-0,027464
24/09/2014;-0,019174
25/09/2014;-0,013541
26/09/2014;-0,051264
27/09/2014;-0,006112
28/09/2014;0,029809
29/09/2014;-0,013826
30/09/2014;-0,020318
01/10/2014;-0,031658
02/10/2014;-0,080556
03/10/2014;-0,037867
04/10/2014;0,02656
05/10/2014;0,000302
06/10/2014;0,056336
07/10/2014;0,028213
08/10/2014;0,002214
09/10/2014;-0,001356
10/10/2014;0,032547
11/10/2014;0,037217
12/10/2014;0,024937
13/10/2014;-0,009946
14/10/2014;-0,034676
15/10/2014;0,001868
16/10/2014;0,026967
17/10/2014;-0,009253
18/10/2014;-0,017951
19/10/2014;0,005139
20/10/2014;-0,008985
21/10/2014;-0,063039
22/10/2014;-0,001913
23/10/2014;-0,023882
24/10/2014;0,005608
25/10/2014;0,004064
27/10/2014;0,002767
28/10/2014;-0,046468
29/10/2014;0,02865
30/10/2014;-0,020477
31/10/2014;-0,037514
01/11/2014;-0,008889
02/11/2014;0,005226
03/11/2014;0,011408
04/11/2014;0,030184
05/11/2014;0,028178
06/11/2014;-0,016823
07/11/2014;0,004873
08/11/2014;0,052451
09/11/2014;0,014016
10/11/2014;-0,004723
11/11/2014;0,167448
12/11/2014;-0,007691
13/11/2014;-0,078052
14/11/2014;-0,056199
15/11/2014;0,028274
16/11/2014;-0,002389
17/11/2014;-0,01448
18/11/2014;0,005969
19/11/2014;-0,065352
20/11/2014;-0,015598
21/11/2014;0,000682
22/11/2014;0,038564
23/11/2014;0,034917
24/11/2014;-0,006408
25/11/2014;-0,029876
26/11/2014;0,00948
27/11/2014;0,023473
28/11/2014;-0,003475
29/11/2014;-0,003594
30/11/2014;0,009767
01/12/2014;0,005347
02/12/2014;-0,009715
03/12/2014;-0,019069
04/12/2014;0,020844
05/12/2014;-0,003634
06/12/2014;0,000558
07/12/2014;-0,031078
08/12/2014;-0,03559
09/12/2014;-0,012141
10/12/2014;-0,000748
11/12/2014;0,016318
12/12/2014;-0,014709
13/12/2014;0,003182
14/12/2014;-0,011458
15/12/2014;-0,044857
16/12/2014;-0,031376
17/12/2014;-0,030715
18/12/2014;0,023691
19/12/2014;0,038793
20/12/2014;-0,023647
21/12/2014;0,025129
22/12/2014;0,013242
23/12/2014;-0,039084
24/12/2014;-0,010633
25/12/2014;0,033872
26/12/2014;-0,045381
27/12/2014;0,003767
28/12/2014;-0,007643
29/12/2014;-0,009114
30/12/2014;0,022145
31/12/2014;-0,010582
01/01/2015;0,001016
02/01/2015;-0,093304
03/01/2015;-0,081262
04/01/2015;0,037516
05/01/2015;0,026675
06/01/2015;0,031627
07/01/2015;-0,03014
08/01/2015;0,018505
09/01/2015;-0,052103
10/01/2015;-0,031892
11/01/2015;0,017076
12/01/2015;-0,196463
13/01/2015;-0,294014
14/01/2015;0,240599
15/01/2015;-0,013727
16/01/2015;-0,035766
17/01/2015;0,05349
18/01/2015;0,024621
19/01/2015;-0,024953
20/01/2015;0,080368
21/01/2015;0,019659
22/01/2015;-0,00228
23/01/2015;0,066604
24/01/2015;0,015712
25/01/2015;0,065594
26/01/2015;-0,0222
27/01/2015;-0,108628
28/01/2015;-0,009273
29/01/2015;-0,009231
30/01/2015;-0,059216
31/01/2015;0,030557
01/02/2015;0,058489
02/02/2015;-0,049123
03/02/2015;-0,003656
04/02/2015;-0,045415
05/02/2015;0,029309
06/02/2015;0,020949
07/02/2015;-0,017769
08/02/2015;-0,015
09/02/2015;-0,003045
10/02/2015;-0,003831
11/02/2015;0,013436
12/02/2015;0,062821
13/02/2015;0,090885
14/02/2015;-0,103241
15/02/2015;0,010915
16/02/2015;0,030773
17/02/2015;-0,033448
18/02/2015;0,028171
19/02/2015;0,01069
20/02/2015;-0,00045
21/02/2015;-0,03616
22/02/2015;0,013023
23/02/2015;0,000293
24/02/2015;-0,006552
25/02/2015;-0,003377
26/02/2015;0,06917
27/02/2015;0,002325
28/02/2015;0,015157
01/03/2015;0,059488
02/03/2015;0,024893
03/03/2015;-0,0316
04/03/2015;0,012099
05/03/2015;-0,009748
06/03/2015;0,008585
07/03/2015;-0,001529
08/03/2015;0,055035
09/03/2015;0,004644
10/03/2015;0,014413
11/03/2015;-0,005938
12/03/2015;-0,022856
13/03/2015;-0,019726
14/03/2015;0,01158
15/03/2015;0,019226
16/03/2015;-0,017472
17/03/2015;-0,108957
18/03/2015;0,019387
19/03/2015;0,003252
20/03/2015;-0,007939
21/03/2015;0,033546
22/03/2015;-0,011647
23/03/2015;-0,07321
24/03/2015;-0,00142
25/03/2015;0,006675
26/03/2015;-0,003271
27/03/2015;0,01927
28/03/2015;-0,04024
29/03/2015;0,019269
29/03/2015;-0,010755
